Comparison	Genus	mean_g1	mean_g2	log2FoldChange	pvalue	p_adj
Group2_vs_Group1	Mailhella	7.486373170604365e-6	3.769767591134464e-5	1.063378805429286	0.019519397509645642	0.11925354536914894
Group2_vs_Group1	Microbacterium	1.0031715659590998e-4	6.217293491596921e-5	-1.000089140003576	0.02383707351338012	0.1289393888467374
Group2_vs_Group1	Kurthia	0.003205905237542403	6.91526750182684e-4	-1.303484811115251	0.032291886689067295	0.1327031547879189
Group2_vs_Group1	Facklamia	0.0012820544959792344	0.004057214962833044	1.1937333573076205	0.025981084733995265	0.13275006798391742
Group2_vs_Group1	Unclassified	1.4014050697114043e-5	2.1793566162237133e-6	-1.3500355779796855	0.02652881399420041	0.13554868464189992
Group2_vs_Group1	Unclassified	2.0647309739251984e-4	6.760047082963543e-5	-1.0544858119047404	0.02297355422305914	0.14035667799051463
Group2_vs_Group1	Collinsella	0.008451432380018659	0.004837909286747045	-0.887656975144369	0.024833155088038506	0.1443745719567142
Group2_vs_Group1	Lachnospiraceae UCG-003	4.811023015934108e-6	8.164606022750079e-5	1.1980366223775913	0.023830751649185775	0.145593716280062
Group2_vs_Group1	Howardella	1.1978937130244624e-4	3.532908935570637e-5	-0.9038352678748153	0.024546566918322514	0.14996698182945944
Group2_vs_Group1	Ruminococcus	0.00557417489002067	0.07145274164805254	1.2428796221549667	0.030208949474182248	0.15435229658341296
Group2_vs_Group1	Limosilactobacillus	0.02756880733156231	0.01342340561928045	-1.089494728700726	0.025504542900775324	0.15581972560546678
Group2_vs_Group1	Helicobacter	1.5011960934635075e-6	9.155772530651657e-6	0.9970582401028615	0.02677188631506819	0.16078188541008953
Group2_vs_Group1	[Eubacterium] saphenum group	3.364423339061892e-5	1.1708066389419655e-6	-1.3165680308264767	0.03237228823016139	0.16540585227089763
Group2_vs_Group1	NK4A214 group	0.0034617923276171253	0.0012818387052717342	-0.9165029325876616	0.03259973649228069	0.16656799667588676
Group2_vs_Group1	Stenotrophomonas	8.627623074596015e-4	0.0020404677333113294	-1.1534942800178098	0.03338905374468893	0.17060100453490695
Group2_vs_Group1	[Anaerorhabdus] furcosa group	6.871716488609774e-5	3.1230357600960546e-4	0.9869804121744762	0.030711020565749942	0.1876286438943993
Group2_vs_Group1	Lactobacillus	0.2538433605962041	0.13656788202135567	-0.9763054799727483	0.03127941794168695	0.1911012614393575
Group2_vs_Group1	Phascolarctobacterium	1.2164405453426842e-4	5.140679745115623e-4	0.8647117809734897	0.03750028734833103	0.19160730761920966
Group2_vs_Group1	Unclassified	0.010677026935037618	0.002601224421294033	-1.1738150894130912	0.041009001522964425	0.20953504427792044
Group2_vs_Group1	Comamonas	2.2522990030489346e-4	2.593744874940936e-4	-0.9339817580766057	0.04427571759116401	0.226226294261422
Group2_vs_Group1	Clostridium sensu stricto 6	0.007646614444996806	0.004215103032002615	-0.9142164429730902	0.0419410733634253	0.25623852850501444
Group2_vs_Group1	UCG-008	7.998539266215137e-4	0.0018368200628185347	0.9913113634510395	0.06694522357916677	0.34205588690085215
Group2_vs_Group1	Desulfovibrio	5.927754378615597e-6	5.7132203210293246e-5	0.8068611300758937	0.0676336229402013	0.34557325589883875
